"statecode_of_county","county","per_capita_income_2021","vehicle_cnt","station_cnt"
"CA","Alameda",99746,192172,792
"CA","Alpine",72734,38,5
"CA","Amador",49752,768,12
"CA","Butte",54694,3423,30
"CA","Calaveras",57726,999,5
"CA","Colusa",54511,125,6
"CA","Contra Costa",99312,102886,309
"CA","Del Norte",43951,375,13
"CA","El Dorado",78525,10749,72
"CA","Fresno",51422,22285,337
"CA","Glenn",50626,213,3
"CA","Humboldt",53607,6406,73
"CA","Imperial",47653,945,6
"CA","Inyo",62090,243,4
"CA","Kern",45961,11954,136
"CA","Kings",43176,1378,32
"CA","Lake",46918,1498,8
"CA","Lassen",39394,68,5
"CA","Los Angeles",74141,642677,3525
"CA","Madera",45757,2158,39
"CA","Marin",164118,40179,197
"CA","Mariposa",61343,289,23
"CA","Mendocino",56047,4026,71
"CA","Merced",46580,3194,25
"CA","Modoc",54301,14,3
"CA","Mono",64164,191,17
"CA","Monterey",63449,12839,146
"CA","Napa",90608,9499,138
"CA","Nevada",68973,3869,45
"CA","Orange",81034,303324,1609
"CA","Placer",76849,22561,149
"CA","Plumas",57193,159,4
"CA","Riverside",51180,81505,518
"CA","Sacramento",61829,58327,479
"CA","San Benito",68868,2658,13
"CA","San Bernardino",49493,61962,401
"CA","San Diego",72637,197012,1243
"CA","San Francisco",160749,62911,336
"CA","San Joaquin",57783,19665,114
"CA","San Luis Obispo",66617,14076,179
"CA","San Mateo",160485,102569,1077
"CA","Santa Barbara",73995,18988,154
"CA","Santa Clara",138724,332645,1650
"CA","Santa Cruz",85554,23148,92
"CA","Shasta",54972,2562,34
"CA","Sierra",47135,25,2
"CA","Siskiyou",52368,391,21
"CA","Solano",65448,19588,135
"CA","Sonoma",81006,43164,217
"CA","Stanislaus",52356,9226,48
"CA","Sutter",53017,1098,4
"CA","Tehama",48042,477,14
"CA","Trinity",36906,169,6
"CA","Tulare",47986,4731,64
"CA","Tuolumne",52306,811,20
"CA","Ventura",73375,51418,222
"CA","Yolo",64468,11367,90
"CA","Yuba",48984,942,6
"FL","Alachua",52367,4131,42
"FL","Bay",53980,1467,14
"FL","Brevard",55477,10079,127
"FL","Broward",64453,40508,261
"FL","Charlotte",51677,2192,5
"FL","Citrus",45050,1062,14
"FL","Clay",51885,1828,5
"FL","Collier",117984,9099,47
"FL","Columbia",43184,256,17
"FL","Duval",54354,10438,90
"FL","Escambia",51808,2434,21
"FL","Flagler",56336,1603,10
"FL","Franklin",41878,101,9
"FL","Hamilton",32123,13,2
"FL","Hardee",35636,39,2
"FL","Hendry",39699,176,5
"FL","Hernando",46080,1495,3
"FL","Highlands",41568,640,13
"FL","Hillsborough",58140,23760,199
"FL","Indian River",95109,2142,11
"FL","Jackson",39322,75,3
"FL","Jefferson",50197,103,4
"FL","Lake",49831,4835,38
"FL","Lee",62885,9538,66
"FL","Leon",54277,3511,29
"FL","Levy",43272,148,2
"FL","Madison",39165,30,1
"FL","Manatee",59152,7006,54
"FL","Marion",45152,2834,9
"FL","Martin",102273,3528,13
"FL","Monroe",109136,1620,33
"FL","Nassau",70010,1001,16
"FL","Okaloosa",59384,2079,23
"FL","Okeechobee",39747,139,17
"FL","Orange",54979,29309,269
"FL","Osceola",43354,4194,100
"FL","Palm Beach",100627,38490,255
"FL","Pasco",50479,7041,29
"FL","Pinellas",65936,17943,166
"FL","Polk",43556,5410,36
"FL","Putnam",40376,244,4
"FL","Santa Rosa",53778,1648,3
"FL","Sarasota",78815,10041,85
"FL","Seminole",58539,9340,62
"FL","St. Johns",80062,6265,27
"FL","St. Lucie",50038,3395,33
"FL","Sumter",64282,1484,8
"FL","Suwannee",39039,96,1
"FL","Taylor",35156,27,7
"FL","Volusia",52964,5642,74
"FL","Wakulla",45669,134,4
"FL","Walton",78714,1116,16
"FL","Washington",36331,54,2
"MI","Alcona",49262,9,1
"MI","Alger",42171,8,1
"MI","Allegan",53375,560,28
"MI","Antrim",55759,64,6
"MI","Baraga",41772,3,1
"MI","Barry",52951,118,3
"MI","Bay",50396,229,11
"MI","Benzie",54684,54,8
"MI","Berrien",59656,503,23
"MI","Branch",45325,68,2
"MI","Calhoun",47789,250,27
"MI","Cass",56042,86,3
"MI","Charlevoix",62505,106,6
"MI","Cheboygan",48078,38,4
"MI","Chippewa",42943,15,6
"MI","Clare",40710,27,5
"MI","Clinton",54719,296,10
"MI","Crawford",44116,7,3
"MI","Delta",46524,50,2
"MI","Dickinson",55335,32,1
"MI","Eaton",50743,418,10
"MI","Emmet",66826,148,17
"MI","Genesee",49399,1034,15
"MI","Gladwin",44068,44,1
"MI","Gogebic",48705,4,2
"MI","Grand Traverse",60388,223,11
"MI","Gratiot",43249,43,4
"MI","Hillsdale",42365,93,2
"MI","Houghton",43809,48,3
"MI","Huron",55774,36,4
"MI","Ingham",49608,1407,42
"MI","Ionia",40849,95,3
"MI","Iosco",46918,50,5
"MI","Iron",49653,2,1
"MI","Isabella",45657,117,11
"MI","Jackson",47503,529,15
"MI","Kalamazoo",58524,1163,52
"MI","Kalkaska",43609,15,5
"MI","Kent",61852,2349,81
"MI","Keweenaw",59593,5,1
"MI","Lake",38989,5,1
"MI","Lapeer",52034,241,1
"MI","Leelanau",78457,194,17
"MI","Lenawee",46929,228,1
"MI","Livingston",65883,1121,10
"MI","Mackinac",53230,27,4
"MI","Macomb",54258,2823,34
"MI","Manistee",46489,38,8
"MI","Marquette",47870,46,5
"MI","Mason",48733,33,9
"MI","Mecosta",44177,86,5
"MI","Midland",62055,384,9
"MI","Monroe",53509,409,8
"MI","Montcalm",40592,74,5
"MI","Montmorency",43331,6,2
"MI","Muskegon",46701,273,18
"MI","Newaygo",44597,67,2
"MI","Oakland",80962,13961,161
"MI","Oceana",46015,28,3
"MI","Ogemaw",42781,13,3
"MI","Osceola",45167,20,2
"MI","Oscoda",39929,12,1
"MI","Otsego",49320,28,7
"MI","Ottawa",56076,946,33
"MI","Presque Isle",47138,12,6
"MI","Roscommon",44518,40,5
"MI","Saginaw",49274,381,18
"MI","Sanilac",47144,33,6
"MI","Shiawassee",47525,245,8
"MI","St. Clair",52805,263,8
"MI","St. Joseph",46199,89,1
"MI","Van Buren",48770,224,6
"MI","Washtenaw",68688,4326,97
"MI","Wayne",50610,5657,158
"MI","Wexford",44697,47,7
"NJ","Atlantic",58310,5141,29
"NJ","Bergen",97343,49727,144
"NJ","Burlington",69496,13554,30
"NJ","Camden",61642,15288,38
"NJ","Cape May",72010,2547,14
"NJ","Cumberland",47559,1495,1
"NJ","Essex",74310,25395,90
"NJ","Gloucester",62553,5785,16
"NJ","Hudson",72046,12987,89
"NJ","Hunterdon",100288,6503,18
"NJ","Mercer",77911,19468,55
"NJ","Middlesex",70221,33207,80
"NJ","Monmouth",92119,25564,68
"NJ","Morris",107767,24022,64
"NJ","Ocean",60823,12198,22
"NJ","Passaic",59559,8704,26
"NJ","Salem",57547,881,13
"NJ","Somerset",113975,21387,45
"NJ","Sussex",71059,3896,14
"NJ","Union",77007,15045,54
"NJ","Warren",63041,2185,4
"NY","Albany",70947,28262,367
"NY","Allegany",42569,1084,7
"NY","Bronx",46834,9632,25
"NY","Broome",50657,9142,42
"NY","Cattaraugus",46775,1100,11
"NY","Cayuga",51431,2074,10
"NY","Chautauqua",47642,3907,30
"NY","Chemung",52360,3099,12
"NY","Chenango",50568,1186,3
"NY","Clinton",50625,3786,33
"NY","Columbia",65426,4517,34
"NY","Cortland",48617,2133,10
"NY","Delaware",48644,1533,8
"NY","Dutchess",67256,21375,74
"NY","Erie",57625,44550,239
"NY","Essex",54109,2320,57
"NY","Franklin",48658,1376,35
"NY","Fulton",51558,1696,10
"NY","Genesee",50662,1784,16
"NY","Greene",55805,2572,18
"NY","Hamilton",54556,476,9
"NY","Herkimer",51946,1071,12
"NY","Jefferson",53130,3368,11
"NY","Kings",61851,40926,111
"NY","Lewis",54629,430,3
"NY","Livingston",52209,2063,21
"NY","Madison",54766,3738,26
"NY","Monroe",60046,58852,212
"NY","Montgomery",48821,1714,22
"NY","Nassau",99597,131775,81
"NY","New York",195543,64006,367
"NY","Niagara",53137,8944,16
"NY","Oneida",53172,8544,60
"NY","Onondaga",60992,24218,118
"NY","Ontario",62051,7539,26
"NY","Orange",58883,17884,41
"NY","Orleans",46322,1260,4
"NY","Oswego",48574,3190,9
"NY","Otsego",53431,2474,16
"NY","Putnam",78754,7398,6
"NY","Queens",58646,70302,107
"NY","Rensselaer",58126,9183,74
"NY","Richmond",65113,18853,25
"NY","Rockland",69173,21547,39
"NY","Saratoga",75651,19428,190
"NY","Schenectady",62484,11484,89
"NY","Schoharie",52027,1312,3
"NY","Schuyler",49811,841,8
"NY","Seneca",47269,999,6
"NY","Steuben",54238,3588,15
"NY","St. Lawrence",45626,3040,19
"NY","Suffolk",81309,182362,216
"NY","Sullivan",53874,2799,18
"NY","Tioga",53919,1725,4
"NY","Tompkins",51377,14026,41
"NY","Ulster",60557,16795,99
"NY","Warren",62392,4358,108
"NY","Washington",49202,2996,7
"NY","Wayne",53499,4552,28
"NY","Westchester",119705,108544,136
"NY","Wyoming",49062,679,4
"NY","Yates",48934,923,4
"TX","Anderson",42444,589,4
"TX","Angelina",46170,1089,1
"TX","Aransas",59878,597,3
"TX","Austin",58284,591,1
"TX","Bandera",58706,778,2
"TX","Bastrop",44230,4219,9
"TX","Bell",49405,10649,22
"TX","Bexar",51780,76605,160
"TX","Blanco",66088,500,6
"TX","Bowie",47792,1160,3
"TX","Brazoria",56360,12142,21
"TX","Brazos",46702,5912,19
"TX","Brewster",53014,189,4
"TX","Burnet",59381,1729,2
"TX","Calhoun",60589,172,2
"TX","Callahan",50963,172,1
"TX","Cameron",37861,6790,12
"TX","Childress",39953,43,2
"TX","Clay",51938,142,1
"TX","Coke",48804,3,1
"TX","Coleman",54822,49,1
"TX","Collin",77006,70504,168
"TX","Colorado",59219,413,2
"TX","Comal",67063,7332,3
"TX","Comanche",50112,126,1
"TX","Coryell",37476,1958,1
"TX","Crockett",57013,77,2
"TX","Culberson",71297,52,2
"TX","Dallas",72218,115883,328
"TX","Dawson",46139,91,1
"TX","Denton",68773,51154,48
"TX","DeWitt",66916,226,1
"TX","Dickens",50869,38,1
"TX","Dimmit",55771,2,1
"TX","Eastland",66400,177,2
"TX","Ector",53610,1405,3
"TX","Ellis",53393,6655,7
"TX","El Paso",44064,20790,29
"TX","Erath",46906,677,1
"TX","Fayette",65339,379,4
"TX","Fort Bend",65797,28316,45
"TX","Galveston",60071,11246,28
"TX","Gillespie",78039,1099,7
"TX","Grayson",52055,4618,8
"TX","Gregg",52958,2745,8
"TX","Grimes",41914,756,4
"TX","Guadalupe",52190,7328,10
"TX","Hale",43543,305,1
"TX","Hamilton",77672,197,1
"TX","Hardin",52544,695,3
"TX","Harris",65869,153938,376
"TX","Harrison",47928,1240,3
"TX","Hays",56097,15006,48
"TX","Henderson",48594,1508,2
"TX","Hidalgo",34503,11444,14
"TX","Hill",49968,763,4
"TX","Hockley",52586,944,5
"TX","Hood",60912,2546,3
"TX","Hopkins",50272,615,1
"TX","Howard",51007,354,1
"TX","Hunt",46801,2011,1
"TX","Jackson",51971,68,1
"TX","Jasper",49475,316,1
"TX","Jeff Davis",59302,86,1
"TX","Jefferson",48243,3593,5
"TX","Jim Wells",50892,203,1
"TX","Johnson",51619,5209,7
"TX","Kaufman",49494,4148,7
"TX","Kendall",96628,4718,5
"TX","Kerr",61401,1648,8
"TX","Kimble",54345,37,4
"TX","Kleberg",45818,1498,4
"TX","Lamar",50699,732,1
"TX","Lampasas",58507,522,2
"TX","Lee",56674,221,1
"TX","Leon",53179,209,1
"TX","Live Oak",46134,183,2
"TX","Llano",59689,934,4
"TX","Lubbock",50881,5601,9
"TX","Madison",40859,123,2
"TX","Matagorda",50775,364,2
"TX","Maverick",38448,552,1
"TX","McCulloch",45744,43,1
"TX","McLennan",49512,6793,10
"TX","Medina",50076,1371,1
"TX","Midland",126738,2660,5
"TX","Mills",51712,84,1
"TX","Mitchell",35417,17,1
"TX","Montgomery",68974,25017,41
"TX","Moore",56634,119,2
"TX","Nacogdoches",46246,828,2
"TX","Navarro",45616,690,2
"TX","Nolan",52629,128,2
"TX","Nueces",52852,6268,19
"TX","Ochiltree",64247,70,1
"TX","Orange",48912,914,1
"TX","Parker",65358,5943,6
"TX","Pecos",43661,87,2
"TX","Polk",47994,565,1
"TX","Potter",55764,1311,6
"TX","Presidio",61776,69,2
"TX","Randall",56381,3824,7
"TX","Real",55449,53,1
"TX","Reeves",52811,56,4
"TX","Robertson",52894,132,1
"TX","Rockwall",70833,6277,9
"TX","San Patricio",51392,1164,1
"TX","Smith",60284,5138,11
"TX","Starr",34933,357,1
"TX","Tarrant",58940,83872,197
"TX","Taylor",58316,2695,3
"TX","Titus",48007,355,1
"TX","Tom Green",59877,2284,4
"TX","Travis",81708,130334,594
"TX","Uvalde",53257,214,1
"TX","Val Verde",46642,733,1
"TX","Van Zandt",45045,1358,2
"TX","Victoria",58479,1176,5
"TX","Walker",33345,779,7
"TX","Waller",49404,1058,1
"TX","Ward",55099,76,1
"TX","Washington",61295,879,4
"TX","Webb",40850,2813,8
"TX","Wharton",52948,510,2
"TX","Wheeler",49906,87,1
"TX","Wichita",50210,1919,6
"TX","Wilbarger",59952,62,1
"TX","Williamson",62931,37390,65
"TX","Wilson",55762,942,1
"TX","Wise",53871,1531,1
